sequence,level,type,id,name,datatype,multiplicity,semantic_path,syntax_sequence,syntax_path,default_value,transformation,required,note
1,1,C,BG-ROOT,Invoice,,1..1,$.invoice,0000,/Invoice,,,,
2,2,A,BT-1,Invoice number,Identifier,1..1,$.invoice.invoiceNumber,0000.0006,/Invoice/cbc:ID,,,,
3,2,A,BT-2,Invoice issue date,Date,1..1,$.invoice.invoiceIssueDate,0000.0009,/Invoice/cbc:IssueDate,,,,
4,2,A,BT-3,Invoice type code,Code,1..1,$.invoice.invoiceTypeCode,0000.0012,/Invoice/cbc:InvoiceTypeCode,,,,
5,2,A,BT-5,Document currency code,Code,1..1,$.invoice.documentCurrencyCode,0000.0015,/Invoice/cbc:DocumentCurrencyCode,,,,
6,2,A,BT-6,Tax accounting currency code,Code,0..1,$.invoice.taxAccountingCurrencyCode,0000.0016,/Invoice/cbc:TaxCurrencyCode,,,,
7,2,A,BT-7,Value added tax point date,Date,0..1,$.invoice.valueAddedTaxPointDate,0000.0014,/Invoice/cbc:TaxPointDate,,,,
8,2,A,BT-8,Value added tax point date code,Code,0..1,$.invoice.valueAddedTaxPointDateCode,0000.0024.0006,/Invoice/cac:InvoicePeriod/cbc:DescriptionCode,,,,
9,2,A,BT-9,Payment due date,Date,0..1,$.invoice.paymentDueDate,0000.0011,/Invoice/cbc:DueDate,,,,
10,2,A,BT-10,Buyer reference,Text,0..1,$.invoice.buyerReference,0000.0023,/Invoice/cbc:BuyerReference,,,,
11,2,A,BT-11,Project reference,Identifier,0..1,$.invoice.projectReference,0000.0033.0001,/Invoice/cac:ProjectReference/cbc:ID,,,,
12,2,A,BT-12,Contract reference,Identifier,0..1,$.invoice.contractReference,0000.0031.0001,/Invoice/cac:ContractDocumentReference/cbc:ID,,,,
13,2,A,BT-13,Purchase order reference,Identifier,0..1,$.invoice.purchaseOrderReference,0000.0025.0001,/Invoice/cac:OrderReference/cbc:ID,,,,
14,2,A,BT-14,Sales order reference,Identifier,0..1,$.invoice.salesOrderReference,0000.0025.0002,/Invoice/cac:OrderReference/cbc:SalesOrderID,,,,
15,2,A,BT-15,Receiving advice reference,Identifier,0..1,$.invoice.receivingAdviceReference,0000.0028.0001,/Invoice/cac:ReceiptDocumentReference/cbc:ID,,,,
16,2,A,BT-16,Despatch advice reference,Identifier,0..1,$.invoice.despatchAdviceReference,0000.0027.0001,/Invoice/cac:DespatchDocumentReference/cbc:ID,,,,
17,2,A,BT-17,Tender or lot reference,Identifier,0..1,$.invoice.tenderOrLotReference,0000.0030.0001,/Invoice/cac:OriginatorDocumentReference/cbc:ID,,,,
18,2,A,BT-18,Invoiced object identifier,Identifier,0..1,$.invoice.invoicedObjectIdentifier,0000.0032.0001,/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID,,,,
19,2,A,BT-18-1,Scheme identifier,Identifier,0..1,$.invoice.invoicedObjectIdentifierSchemeIdentifier,0000.0032.0001.@schemeID,/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID,,,,
20,2,A,BT-19,Buyer accounting reference,Text,0..1,$.invoice.buyerAccountingReference,0000.0021,/Invoice/cbc:AccountingCost,,,,
21,2,A,BT-20,Payment terms,Text,0..1,$.invoice.paymentTerms,0000.0044.0004,/Invoice/cac:PaymentTerms/cbc:Note,,,,
22,2,C,BG-1,Invoice note,,0..*,$.invoice.invoiceNote,0000.0013,/Invoice/cbc:Note,,,,
23,3,A,BT-21,Invoice note subject code,Code,0..1,$.invoice.invoiceNote.invoiceNoteSubjectCode,0000.0013.@subjectCode,/Invoice/cbc:Note/@subjectCode,,,,
24,3,A,BT-22,Invoice note,Text,1..1,$.invoice.invoiceNote.invoiceNote,0000.0013,/Invoice/cbc:Note,,,,
25,2,C,BG-2,Process control,,1..1,$.invoice.processControl,0000,/Invoice,,,,
26,3,A,BT-23,Business process type,Identifier,0..1,$.invoice.processControl.businessProcessType,0000.0004,/Invoice/cbc:ProfileID,,,,
27,3,A,BT-24,Specification identifier,Identifier,1..1,$.invoice.processControl.specificationIdentifier,0000.0003,/Invoice/cbc:CustomizationID,,,,
28,2,C,BG-3,Preceding invoice reference,,0..*,$.invoice.precedingInvoiceReference,0000.0026.0001,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference,,,,
29,3,A,BT-25,Preceding invoice reference,Identifier,1..1,$.invoice.precedingInvoiceReference.precedingInvoiceReference,0000.0026.0001.0001,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID,,,,
30,3,A,BT-26,Preceding invoice issue date,Date,0..1,$.invoice.precedingInvoiceReference.precedingInvoiceIssueDate,0000.0026.0001.0004,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate,,,,
31,2,C,BG-4,Seller,,1..1,$.invoice.seller,0000.0035.0004,/Invoice/cac:AccountingSupplierParty/cac:Party,,,,
32,3,A,BT-27,Seller name,Text,1..1,$.invoice.seller.sellerName,0000.0035.0004.0013.0001,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,,,,
33,3,A,BT-28,Seller trading name,Text,0..1,$.invoice.seller.sellerTradingName,0000.0035.0004.0008.0001,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name,,,,
34,3,C,,Seller Identifier,,0..*,$.invoice.seller.sellerIdentifier,0000.0035.0004.0007,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification,,,,
35,4,A,BT-29,Identifier,Identifier,1..1,$.invoice.seller.sellerIdentifier.identifier,0000.0035.0004.0007.0001,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID,,,,
36,4,A,BT-29-1,Scheme identifier,Identifier,0..1,$.invoice.seller.sellerIdentifier.schemeIdentifier,0000.0035.0004.0007.0001.@schemeID,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID,,,,
