sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
1,en16931,1,C,,Invoice,,1..1,,EN 16931 invoice semantic root.,,,BG-ROOT,$.invoice,,Invoice,Invoice,/xbrli:xbrl/en:Invoice
2,en16931,2,A,,Invoice number,Identifier,1..1,,An invoice shall have an invoice number.,,,BT-1,$.invoice.invoiceNumber,,Invoice,InvoiceNumber,/xbrli:xbrl/en:Invoice/en:InvoiceNumber
3,en16931,2,A,,Invoice issue date,Date,1..1,,The date when the invoice was issued.,,,BT-2,$.invoice.invoiceIssueDate,,Invoice,InvoiceIssueDate,/xbrli:xbrl/en:Invoice/en:InvoiceIssueDate
4,en16931,2,A,,Invoice type code,Code,1..1,,Code specifying the functional type of invoice.,,,BT-3,$.invoice.invoiceTypeCode,,Invoice,InvoiceTypeCode,/xbrli:xbrl/en:Invoice/en:InvoiceTypeCode
5,en16931,2,A,,Document currency code,Code,1..1,,"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.",,,BT-5,$.invoice.documentCurrencyCode,,Invoice,DocumentCurrencyCode,/xbrli:xbrl/en:Invoice/en:DocumentCurrencyCode
6,en16931,2,A,,Tax accounting currency code,Code,0..1,,The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.,,,BT-6,$.invoice.taxAccountingCurrencyCode,,Invoice,TaxAccountingCurrencyCode,/xbrli:xbrl/en:Invoice/en:TaxAccountingCurrencyCode
7,en16931,2,A,,Value added tax point date,Date,0..1,,"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive.",,,BT-7,$.invoice.valueAddedTaxPointDate,,Invoice,ValueAddedTaxPointDate,/xbrli:xbrl/en:Invoice/en:ValueAddedTaxPointDate
8,en16931,2,A,,Value added tax point date code,Code,0..1,,The code of the date when the VAT becomes accountable for the Seller and for the Buyer.,,,BT-8,$.invoice.valueAddedTaxPointDateCode,,Invoice,ValueAddedTaxPointDateCode,/xbrli:xbrl/en:Invoice/en:ValueAddedTaxPointDateCode
9,en16931,2,A,,Payment due date,Date,0..1,,The date when the payment is due.,,,BT-9,$.invoice.paymentDueDate,,Invoice,PaymentDueDate,/xbrli:xbrl/en:Invoice/en:PaymentDueDate
10,en16931,2,A,,Buyer reference,Text,0..1,,An identifier assigned by the Buyer used for internal routing purposes.,,,BT-10,$.invoice.buyerReference,,Invoice,BuyerReference,/xbrli:xbrl/en:Invoice/en:BuyerReference
11,en16931,2,A,,Project reference,Identifier,0..1,,The identification of the project the invoice refers to,,,BT-11,$.invoice.projectReference,,Invoice,ProjectReference,/xbrli:xbrl/en:Invoice/en:ProjectReference
12,en16931,2,A,,Contract reference,Identifier,0..1,,The identification of a contract.,,,BT-12,$.invoice.contractReference,,Invoice,ContractReference,/xbrli:xbrl/en:Invoice/en:ContractReference
